segment_idx,m1_speed_psd_peak_baseband,m1_speed_psd_peak_original_bits,m1_speed_psd_peak_psk_recovered,m1_speed_psd_mean_energy_baseband,m1_speed_psd_mean_energy_original_bits,m1_speed_psd_mean_energy_psk_recovered,m1_speed_psd_peak_freq_baseband,m1_speed_psd_peak_freq_original_bits,m1_speed_psd_peak_freq_psk_recovered,m1_speed_rms_baseband,m1_speed_rms_original_bits,m1_speed_rms_psk_recovered,m1_speed_mean_baseband,m1_speed_mean_original_bits,m1_speed_mean_psk_recovered,m1_speed_variance_baseband,m1_speed_variance_original_bits,m1_speed_variance_psk_recovered,m1_speed_fft_peak_baseband,m1_speed_fft_peak_original_bits,m1_speed_fft_peak_psk_recovered,o8_compressor_psd_peak_baseband,o8_compressor_psd_peak_original_bits,o8_compressor_psd_peak_psk_recovered,o8_compressor_psd_mean_energy_baseband,o8_compressor_psd_mean_energy_original_bits,o8_compressor_psd_mean_energy_psk_recovered,o8_compressor_psd_peak_freq_baseband,o8_compressor_psd_peak_freq_original_bits,o8_compressor_psd_peak_freq_psk_recovered,o8_compressor_rms_baseband,o8_compressor_rms_original_bits,o8_compressor_rms_psk_recovered,o8_compressor_mean_baseband,o8_compressor_mean_original_bits,o8_compressor_mean_psk_recovered,o8_compressor_variance_baseband,o8_compressor_variance_original_bits,o8_compressor_variance_psk_recovered,o8_compressor_fft_peak_baseband,o8_compressor_fft_peak_original_bits,o8_compressor_fft_peak_psk_recovered,current_task_duration_psd_peak_baseband,current_task_duration_psd_peak_original_bits,current_task_duration_psd_peak_psk_recovered,current_task_duration_psd_mean_energy_baseband,current_task_duration_psd_mean_energy_original_bits,current_task_duration_psd_mean_energy_psk_recovered,current_task_duration_psd_peak_freq_baseband,current_task_duration_psd_peak_freq_original_bits,current_task_duration_psd_peak_freq_psk_recovered,current_task_duration_rms_baseband,current_task_duration_rms_original_bits,current_task_duration_rms_psk_recovered,current_task_duration_mean_baseband,current_task_duration_mean_original_bits,current_task_duration_mean_psk_recovered,current_task_duration_variance_baseband,current_task_duration_variance_original_bits,current_task_duration_variance_psk_recovered,current_task_duration_fft_peak_baseband,current_task_duration_fft_peak_original_bits,current_task_duration_fft_peak_psk_recovered,current_state_binary
0,0.001638,0,0,0.001034,0,0,1.0,1,1,0.0,0,0,0.0,0,0,0.613478,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
1,0.699513,1,1,0.395961,0,0,0.333333,0,0,0.559359,1,1,0.533949,1,1,1.0,1,1,0.533949,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
2,0.000234,0,0,0.000144,0,0,1.0,1,1,0.814006,1,1,0.88973,1,1,0.000475,0,0,0.88973,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
3,0.0,0,0,0.0,0,0,0.333333,0,0,0.813973,1,1,0.889759,1,1,1e-06,0,0,0.889759,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
4,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
5,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
6,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
7,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.005896,0,0,0.0,0,0,0.0,0,0,1
8,0.0,0,0,0.0,0,0,0.0,0,0,0.813854,1,1,0.889665,1,1,0.0,0,0,0.889665,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.079554,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,9e-06,0,0,0.005894,0,0,0.0,0,0,2e-06,0,0,1
9,1e-06,0,0,1e-06,0,0,1.0,1,1,0.814061,1,1,0.889821,1,1,5.8e-05,0,0,0.889821,1,1,0.0,0,0,0.0,0,0,0.333333,0,0,0.014115,0,0,0.083782,0,0,0.000215,0,0,0.015189,0,0,0.0,0,0,0.0,0,0,0.333333,0,0,0.00087,0,0,0.005729,0,0,2e-06,0,0,0.000298,0,0,0
10,0.001755,0,0,0.001143,0,0,1.0,1,1,0.77719,1,1,0.854191,1,1,0.05577,0,0,0.854191,1,1,0.002443,0,0,0.001807,0,0,1.0,1,1,0.54039,1,1,0.331602,0,0,0.31058,0,0,0.537737,1,1,3.6e-05,0,0,5.4e-05,0,0,1.0,1,1,0.216218,0,0,0.105354,0,0,0.092051,0,0,0.100048,0,0,0
11,0.174185,0,0,0.138147,0,0,0.333333,0,0,0.830569,1,1,0.888934,1,1,0.121618,0,0,0.888934,1,1,0.943055,1,1,0.966962,1,1,0.666667,1,1,1.0,1,1,0.911991,1,1,1.0,1,1,0.930721,1,1,0.255174,0,0,0.239307,0,0,0.333333,0,0,0.646556,1,1,0.539139,1,1,0.450707,0,0,0.536405,1,1,0
12,0.038287,0,0,0.041607,0,0,0.333333,0,0,0.866761,1,1,0.925138,1,1,0.05577,0,0,0.925138,1,1,0.067727,0,0,0.063567,0,0,0.0,0,0,0.841652,1,1,0.668398,1,1,0.727646,1,1,0.721352,1,1,0.359494,0,0,0.416315,0,0,0.333333,0,0,1.0,1,1,0.947529,1,1,0.685646,1,1,0.947217,1,1,1
